Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
0,-290,290,17,3.1404,3.694075,1.100325,3.174975,3.246475,3.381575,3.199025,3.149275
1,-290,232,17,3.0591500000000003,3.5428249999999997,1.44465,3.091375,3.25815,3.284675,3.1738250000000003,3.140875
2,-290,174,17,3.032225,3.321875,1.72995,3.0738,3.262875,3.180875,3.150325,3.1446
3,-290,116,17,3.0469500000000003,2.9682250000000003,2.0682750000000003,3.044975,3.2584,3.0449,3.123275,3.1488
4,-290,58,17,3.127125,2.36545,2.53925,3.030875,3.2521750000000003,2.8878500000000003,3.09765,3.1572
5,-290,0,17,3.14215,0.59935,3.1090750000000003,3.0677,3.2567500000000003,2.725625,3.050825,3.1566
6,-290,-58,17,2.687625,2.3021249999999998,2.84125,3.0660000000000003,3.325425,2.9054,3.053075,3.157025
7,-290,-116,17,2.27955,2.80685,2.688125,3.03065,3.349825,3.03795,3.056175,3.1590000000000003
8,-290,-174,17,1.8216999999999999,3.1744250000000003,2.6588,3.01745,3.382,3.161275,3.067275,3.178025
9,-290,-232,17,1.165775,3.4623000000000004,2.6816999999999998,3.015275,3.40095,3.271375,3.0751,3.199475
10,-290,-290,17,0.44185,3.66455,2.800825,3.028075,3.429625,3.3715,3.084925,3.2144500000000003
11,-232,290,17,3.2115,3.57375,2.08025,2.995625,3.19245,3.386525,3.185925,3.1156
12,-232,232,17,3.1211,3.3190749999999998,1.91845,2.8685750000000003,3.165275,3.2333,3.155025,3.097875
13,-232,174,17,3.074225,2.983825,2.0652,2.827125,3.16115,3.06225,3.12805,3.090625
14,-232,116,17,3.09055,2.59415,2.299175,2.826,3.18765,2.9167,3.1065750000000003,3.103
15,-232,58,17,3.1261,1.9555749999999998,2.5601000000000003,2.8376,3.1948250000000002,2.706675,3.0731,3.106175
16,-232,0,17,3.1162,0.9336,2.9524,2.885275,3.23715,2.573925,3.02965,3.1034
17,-232,-58,17,2.746175,1.9941,2.8129500000000003,2.899575,3.30175,2.7578,3.016925,3.10025
18,-232,-116,17,2.393425,2.55045,2.71655,2.8808,3.3384,2.924,3.015375,3.098725
19,-232,-174,17,2.0872,2.946575,2.69835,2.877075,3.367575,3.093325,3.018475,3.1123000000000003
20,-232,-232,17,1.7486,3.272825,2.737975,2.889975,3.393275,3.230525,3.020175,3.1234
21,-232,-290,17,1.6752,3.585175,2.8694,2.958825,3.4215250000000004,3.37525,3.046325,3.1501
22,-174,290,17,3.140575,3.4968749999999997,2.48115,2.8175000000000003,3.176775,3.391675,3.172875,3.087575
23,-174,232,17,3.075275,3.22275,2.26705,2.66765,3.1273750000000002,3.216475,3.142825,3.0568500000000003
24,-174,174,17,3.0479,2.871525,2.415175,2.6037,3.1452,3.0421500000000004,3.1219,3.056825
25,-174,116,17,3.039275,2.4386,2.53565,2.564925,3.15695,2.8266,3.095025,3.0440500000000004
26,-174,58,17,3.069875,1.782125,2.7307,2.5871,3.19525,2.60125,3.0644,3.0533
27,-174,0,17,3.0465999999999998,1.1881249999999999,2.93635,2.6432249999999997,3.236875,2.4663749999999998,3.0206500000000003,3.041525
28,-174,-58,17,2.81225,1.9333,2.86335,2.6791,3.294775,2.64125,2.993475,3.0343999999999998
29,-174,-116,17,2.607525,2.482825,2.806825,2.69825,3.33995,2.890975,2.997375,3.048025
30,-174,-174,17,2.379875,2.88295,2.792275,2.706,3.36125,3.0667,2.98295,3.0463
31,-174,-232,17,2.12035,3.2316000000000003,2.8240250000000002,2.77285,3.38915,3.244425,2.9985,3.08025
32,-174,-290,17,2.0946,3.524175,2.91235,2.8645,3.413425,3.3918,3.0324,3.111775
33,-116,290,17,3.126525,3.476625,2.7577,2.6456,3.225,3.42385,3.1665,3.0643
34,-116,232,17,3.0627,3.17875,2.584325,2.430025,3.154525,3.23085,3.13635,3.021875
35,-116,174,17,3.043225,2.814575,2.65375,2.3293,3.1608,3.02705,3.11495,3.0071
36,-116,116,17,3.0396,2.431575,2.736,2.28575,3.190325,2.8178,3.1039499999999998,2.9985
37,-116,58,17,3.059025,1.973525,2.868825,2.31865,3.21995,2.5887000000000002,3.077225,3.001075
38,-116,0,17,3.045675,1.54875,2.9582,2.3904,3.260275,2.4387,3.0349,2.991025
39,-116,-58,17,2.909875,2.01145,2.902275,2.4771750000000003,3.311675,2.6306249999999998,3.006875,2.988275
40,-116,-116,17,2.751225,2.519925,2.853325,2.4792,3.336125,2.8671,2.987625,2.97565
41,-116,-174,17,2.6176,2.8689750000000003,2.844025,2.5046500000000003,3.355475,3.0637,2.9848000000000003,2.996325
42,-116,-232,17,2.5103500000000003,3.20725,2.868575,2.582625,3.3752,3.25185,2.9945,3.0372749999999997
43,-116,-290,17,2.534,3.4975,2.9356,2.72715,3.398475,3.4232,3.038875,3.0795500000000002
44,-58,290,17,3.096775,3.503075,2.9698,2.3643,3.313,3.477675,3.13885,2.9934250000000002
45,-58,232,17,3.0604,3.2471,2.914025,2.0506249999999997,3.2598,3.296675,3.1353,2.9604
46,-58,174,17,3.05565,2.93665,2.908525,1.957875,3.247875,3.0842,3.111325,2.937925
47,-58,116,17,3.0570250000000003,2.591825,2.9305,1.951125,3.257975,2.855675,3.102675,2.927275
48,-58,58,17,3.0715500000000002,2.2227,2.972525,2.068275,3.2703499999999996,2.5872,3.084,2.932475
49,-58,0,17,3.06605,1.9746000000000001,2.987725,2.121725,3.2988750000000002,2.4785999999999997,3.0622,2.92115
50,-58,-58,17,2.9879,2.2605,2.9348,2.1786250000000003,3.31895,2.6477250000000003,3.035275,2.9014
51,-58,-116,17,2.918475,2.6306000000000003,2.8962499999999998,2.24635,3.335825,2.895225,3.024275,2.9167750000000003
52,-58,-174,17,2.8592,2.9763,2.8873,2.2683750000000003,3.341625,3.098275,3.023425,2.9146
53,-58,-232,17,2.81405,3.268275,2.907175,2.359175,3.346925,3.2887250000000003,3.03715,2.9579
54,-58,-290,17,2.87,3.53635,2.95445,2.5864000000000003,3.3755,3.488925,3.0975,3.0312
55,0,290,17,3.10195,3.541325,3.22545,0.906475,3.355675,3.501525,3.10655,2.9335750000000003
56,0,232,17,3.085775,3.308525,3.1425750000000003,1.4128,3.289175,3.292,3.0907000000000004,2.881225
57,0,174,17,3.086225,3.058175,3.0918,1.497225,3.274175,3.0669250000000003,3.083575,2.8423000000000003
58,0,116,17,3.096025,2.8017499999999997,3.0546,1.625375,3.2757,2.83995,3.084175,2.84155
59,0,58,17,3.104625,2.4713,3.02415,1.775525,3.293375,2.572875,3.085,2.8350500000000003
60,0,0,17,3.110625,2.3391,3.000825,1.9308,3.311175,2.405975,3.077625,2.78675
61,0,-58,17,3.095275,2.56645,2.968775,2.015625,3.303225,2.64315,3.0639250000000002,2.751225
62,0,-116,17,3.08425,2.8638,2.9520000000000004,2.050125,3.295575,2.912925,3.068,2.712525
63,0,-174,17,3.07975,3.12865,2.9375,2.110825,3.295475,3.124675,3.0866,2.691125
64,0,-232,17,3.11155,3.3619499999999998,2.936175,2.1927,3.297325,3.3108750000000002,3.1176749999999998,2.649275
65,0,-290,17,3.204925,3.584625,2.957875,2.419175,3.324175,3.5078,3.1873,2.4751250000000002
66,58,290,17,3.127625,3.501275,3.1700000000000004,2.514375,2.8550999999999997,3.4393000000000002,3.1206,2.993525
67,58,232,17,3.123475,3.277725,3.095875,2.253175,2.8530249999999997,3.196075,3.080025,2.951125
68,58,174,17,3.1264000000000003,3.0377750000000003,3.052925,2.139225,2.980025,2.931925,3.06395,2.92715
69,58,116,17,3.13325,2.8021,3.029725,2.139925,3.0972500000000003,2.6557,3.06665,2.924525
70,58,58,17,3.1189999999999998,2.499025,3.007225,2.1580000000000004,3.20485,2.2719,3.078,2.9173
