Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8,Class
0,-290,290,20,3.247125,3.619,0.680625,3.1875,3.228625,3.339875,3.165875,3.137875,1
1,-290,232,20,3.1673750000000003,3.44,1.070625,3.105625,3.244875,3.2165,3.138875,3.12925,1
2,-290,174,20,3.134,3.195125,1.462125,3.082125,3.2535000000000003,3.082625,3.111625,3.133125,1
3,-290,116,20,3.1473750000000003,2.822125,1.855875,3.0496250000000003,3.25525,2.936,3.086,3.138375,1
4,-290,58,20,3.210375,2.102125,2.36075,3.00125,3.241,2.72975,3.05775,3.14175,4
5,-290,0,20,3.244375,0.008125,3.014125,3.036875,3.2515,2.517875,3.008375,3.142875,4
6,-290,-58,20,2.74575,1.950375,2.74375,3.0543750000000003,3.326625,2.736125,3.00875,3.147875,4
7,-290,-116,20,2.325375,2.652875,2.599625,3.0365,3.3715,2.94975,3.02925,3.1635,7
8,-290,-174,20,1.72375,3.044375,2.561375,3.00875,3.3985,3.07525,3.03225,3.177875,7
9,-290,-232,20,0.965375,3.3592500000000003,2.588625,3.0005,3.421875,3.1915,3.03925,3.198875,7
10,-290,-290,20,0.008875,3.58325,2.710375,3.007,3.4495,3.30625,3.0460000000000003,3.214375,7
11,-232,290,20,3.35025,3.442125,1.891625,2.97275,3.1593750000000003,3.324875,3.15375,3.099625,1
12,-232,232,20,3.257375,3.17875,1.66525,2.84825,3.1321250000000003,3.147875,3.122625,3.0915,1
13,-232,174,20,3.192875,2.775625,1.858875,2.789625,3.13025,2.94075,3.0925,3.076,1
14,-232,116,20,3.215875,2.34725,2.143625,2.7795,3.17475,2.77375,3.0705,3.0895,1
15,-232,58,20,3.25075,1.525,2.456,2.793875,3.17825,2.511,3.029375,3.095,4
16,-232,0,20,3.255625,0.43425,2.8765,2.844625,3.238875,2.3865,2.995,3.094625,4
17,-232,-58,20,2.7575,1.600875,2.699625,2.847,3.30025,2.565125,2.9705,3.0845,4
18,-232,-116,20,2.3155,2.278125,2.6045000000000003,2.8415,3.346125,2.795,2.980125,3.0955,7
