Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
0,-290,290,12,3.127225,3.740675,1.67825,3.175175,3.311175,3.44815,3.231025,3.1756249999999997
1,-290,232,12,3.0647,3.6415249999999997,1.9606249999999998,3.1222250000000003,3.332025,3.392375,3.2127250000000003,3.170225
2,-290,174,12,3.0543,3.46945,2.16725,3.10995,3.33415,3.3237,3.1959999999999997,3.175425
3,-290,116,12,3.061225,3.2182500000000003,2.3663250000000002,3.0922750000000003,3.3232,3.2178500000000003,3.174075,3.179525
4,-290,58,12,3.1365,2.76465,2.727925,3.088875,3.31115,3.0927000000000002,3.147575,3.19075
5,-290,0,12,3.155825,1.3589,3.19255,3.11525,3.30405,2.9467,3.0999,3.1866
6,-290,-58,12,2.7877,2.731925,2.96475,3.108475,3.36115,3.090925,3.1088,3.186375
7,-290,-116,12,2.52425,3.07345,2.831575,3.0794,3.376325,3.185025,3.113275,3.187275
8,-290,-174,12,2.218125,3.339725,2.787725,3.0610500000000003,3.400025,3.2715,3.121525,3.1968
9,-290,-232,12,1.7732999999999999,3.5780250000000002,2.81035,3.06405,3.414225,3.3685,3.13425,3.218325
10,-290,-290,12,1.32555,3.723925,2.9286250000000003,3.089375,3.4391,3.4459,3.148075,3.233025
11,-232,290,12,3.1568,3.6633,2.3413,3.03465,3.2746500000000003,3.4572499999999997,3.218475,3.1412500000000003
12,-232,232,12,3.0871750000000002,3.464975,2.27265,2.938,3.25975,3.352125,3.196275,3.1205000000000003
13,-232,174,12,3.050625,3.2118,2.362125,2.9095,3.252775,3.22305,3.172825,3.11545
14,-232,116,12,3.0628,2.899375,2.5119249999999997,2.908075,3.2586500000000003,3.094875,3.1526750000000003,3.1246
15,-232,58,12,3.110275,2.4662,2.732325,2.9269000000000003,3.269775,2.94925,3.130075,3.1321499999999998
16,-232,0,12,3.097725,1.608425,3.051525,2.97035,3.28955,2.82525,3.08185,3.123725
17,-232,-58,12,2.83335,2.4358,2.946775,2.9806,3.3348500000000003,2.9539750000000002,3.0718,3.11375
18,-232,-116,12,2.652,2.86235,2.860175,2.9644500000000003,3.367525,3.088825,3.074575,3.1138500000000002
19,-232,-174,12,2.3983499999999998,3.158225,2.830925,2.9551000000000003,3.387775,3.2169,3.07595,3.118725
20,-232,-232,12,2.1764,3.418875,2.8642,2.9682250000000003,3.40795,3.3294,3.0813,3.1331
21,-232,-290,12,2.265175,3.6582,2.971425,3.0301750000000003,3.4276,3.442025,3.10535,3.158575
22,-174,290,12,3.1165,3.613025,2.646325,2.890375,3.25915,3.45755,3.208325,3.11025
23,-174,232,12,3.06185,3.394125,2.527175,2.774725,3.2281250000000004,3.326575,3.185975,3.08405
24,-174,174,12,3.0409,3.122775,2.6197500000000002,2.7296,3.236975,3.1991,3.169725,3.082575
25,-174,116,12,3.03695,2.792025,2.692825,2.7233,3.2388,3.02785,3.14635,3.082125
26,-174,58,12,3.06485,2.30375,2.8573250000000003,2.7351,3.261325,2.8560000000000003,3.120625,3.084925
27,-174,0,12,3.056875,1.835825,3.035875,2.80545,3.2895250000000003,2.7588500000000002,3.083075,3.083325
28,-174,-58,12,2.8841,2.372875,2.9771750000000003,2.82995,3.3329999999999997,2.869225,3.0586,3.0736
29,-174,-116,12,2.7443,2.8244,2.92015,2.8438749999999997,3.3687,3.065475,3.0606750000000003,3.080675
30,-174,-174,12,2.636475,3.122125,2.897475,2.836675,3.38035,3.20665,3.0471250000000003,3.074875
31,-174,-232,12,2.523575,3.4038,2.927425,2.9037,3.403,3.3438,3.064025,3.1058499999999998
32,-174,-290,12,2.4635000000000002,3.616375,2.9979,2.9610250000000002,3.41925,3.45185,3.09095,3.123875
33,-116,290,12,3.1088500000000003,3.617525,2.86045,2.790725,3.303925,3.4998,3.20885,3.104125
34,-116,232,12,3.04985,3.383875,2.7519,2.595425,3.25255,3.354775,3.1795750000000003,3.0556
35,-116,174,12,3.025475,3.083825,2.785875,2.510875,3.2515,3.180975,3.1613,3.0402750000000003
