Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
0,-290.0,290.0,8.0,3.2045250000000003,3.736075,2.07575,3.186575,3.381575,3.4998500000000003,3.244225,3.200625
1,-290.0,232.0,8.0,3.1683000000000003,3.681725,2.316125,3.176025,3.418725,3.475375,3.233525,3.199025
2,-290.0,174.0,8.0,3.1742000000000004,3.5535500000000004,2.51225,3.16555,3.42085,3.4268,3.2225,3.206325
3,-290.0,116.0,8.0,3.169525,3.4217500000000003,2.574925,3.159475,3.4068000000000005,3.35165,3.2086749999999995,3.211225
4,-290.0,58.0,8.0,3.223,3.06285,2.820825,3.139875,3.37985,3.2253000000000003,3.178675,3.221750000000001
5,-290.0,0.0,8.0,3.264925,1.8461,3.21945,3.15125,3.36245,3.0568,3.1276,3.2144
6,-290.0,-58.0,8.0,2.9728000000000003,2.992325000000001,3.0427500000000003,3.1547750000000003,3.40985,3.187825,3.1437000000000004,3.217375
7,-290.0,-116.0,8.0,2.89125,3.29205,2.9441750000000004,3.1496,3.430925,3.302725,3.165475,3.228975
8,-290.0,-174.0,8.0,2.659625,3.444525,2.873025,3.11145,3.4387250000000003,3.342,3.162725,3.2217
9,-290.0,-232.0,8.0,2.4052,3.640725,2.89915,3.11595,3.450525,3.4270000000000005,3.18125,3.242925
10,-290.0,-290.0,8.0,2.11895,3.730825,3.018625,3.152375,3.4694000000000003,3.4871,3.197675,3.257725
11,-232.0,290.0,8.0,3.2072,3.6657,2.5217000000000005,3.06635,3.35485,3.49675,3.2332750000000003,3.16125
12,-232.0,232.0,8.0,3.163075,3.5347750000000007,2.5198500000000004,3.0125,3.3562500000000006,3.4346250000000005,3.222475,3.145
13,-232.0,174.0,8.0,3.124625,3.3307,2.574625,2.986,3.347475,3.32945,3.200925,3.1355500000000003
14,-232.0,116.0,8.0,3.1372,3.086875,2.657325,2.976175,3.34185,3.205375,3.182075,3.1414
15,-232.0,58.0,8.0,3.199975,2.7643,2.869425,3.0071,3.354975,3.09875,3.167175,3.15685
16,-232.0,0.0,8.0,3.1970250000000004,2.064325,3.116225,3.04765,3.36095,2.99375,3.1206500000000004,3.143025
17,-232.0,-58.0,8.0,2.9596500000000003,2.6752,3.024475,3.0419,3.37765,3.0442750000000003,3.1037000000000003,3.11775
18,-232.0,-116.0,8.0,2.9275,3.03615,2.952075,3.0410500000000003,3.413225,3.193925,3.122175,3.13115
19,-232.0,-174.0,8.0,2.64515,3.229025,2.903825,3.0254,3.420975,3.2726,3.1170500000000003,3.127025
20,-232.0,-232.0,8.0,2.4746,3.458875,2.9343,3.027025,3.43805,3.3711,3.1232,3.1379
21,-232.0,-290.0,8.0,2.662075,3.6433,3.0063250000000004,3.074575,3.4539,3.459725,3.14265,3.1636750000000005
22,-174.0,290.0,8.0,3.206,3.658225,2.7914250000000003,2.947875,3.3488500000000005,3.50545,3.2309250000000005,3.12575
23,-174.0,232.0,8.0,3.1711500000000004,3.4846250000000003,2.714075,2.873025,3.341125,3.4121749999999995,3.217775,3.11345
24,-174.0,174.0,8.0,3.1531,3.2939750000000005,2.74425,2.8524,3.3332749999999995,3.3219,3.205025,3.112175
25,-174.0,116.0,8.0,3.15405,3.001725,2.794925,2.8682,3.3332,3.1686500000000004,3.1846500000000004,3.1216250000000003
26,-174.0,58.0,8.0,3.17415,2.60525,2.953425,2.8649000000000004,3.334425,3.007,3.157125,3.112825
27,-174.0,0.0,8.0,3.176375,2.296425,3.098375,2.93955,3.359725,2.96315,3.132175,3.120925
28,-174.0,-58.0,8.0,3.0489,2.628375,3.045075,2.96955,3.3935,3.029525,3.1159,3.1114
29,-174.0,-116.0,8.0,2.8942000000000005,3.0221,2.97285,2.950375,3.4103,3.166275,3.103075,3.101075
30,-174.0,-174.0,8.0,2.882275,3.245625,2.951275,2.930575,3.41815,3.29385,3.097625,3.103375
31,-174.0,-232.0,8.0,2.908675,3.4712,2.975825,3.0033,3.435,3.3947000000000003,3.116725,3.13465
32,-174.0,-290.0,8.0,2.8645,3.626375,3.0391,3.032725,3.44775,3.47265,3.13855,3.137875
33,-116.0,290.0,8.0,3.17915,3.650725,2.87005,2.874025,3.364825,3.5352,3.227650000000001,3.116625
34,-116.0,232.0,8.0,3.1446500000000004,3.479375,2.8536,2.7458249999999995,3.34845,3.444475,3.2096750000000003,3.0919
35,-116.0,174.0,8.0,3.118275,3.2384250000000003,2.864375,2.6623750000000004,3.3465,3.288275,3.1927,3.071975
36,-116.0,116.0,8.0,3.1241250000000003,3.0152,2.9274,2.674525,3.3471500000000005,3.15735,3.18495,3.0837000000000003
37,-116.0,58.0,8.0,3.141925,2.729575,3.010325,2.6989750000000003,3.3603000000000005,2.99295,3.165825,3.080375
38,-116.0,0.0,8.0,3.140375,2.5158000000000005,3.0726000000000004,2.77385,3.381775,2.919,3.1368,3.07135
39,-116.0,-58.0,8.0,3.045375,2.734225,3.04095,2.8089,3.400775,2.998425,3.1174250000000003,3.0669000000000004
40,-116.0,-116.0,8.0,2.956675,3.05,2.9954,2.830075,3.408825,3.1810499999999995,3.11045,3.0754
41,-116.0,-174.0,8.0,2.901575,3.2928,2.979625,2.8462,3.423125,3.29885,3.104525,3.0753250000000003
42,-116.0,-232.0,8.0,2.84945,3.498325,2.9996,2.905475,3.4300750000000004,3.421675,3.11825,3.1004000000000005
43,-116.0,-290.0,8.0,2.887675,3.686425,3.0474750000000004,3.00765,3.4485,3.528525,3.1621250000000005,3.122675
44,-58.0,290.0,8.0,3.178325,3.703175,3.047825,2.727525,3.424075,3.592875,3.2172750000000003,3.087525
45,-58.0,232.0,8.0,3.147225,3.5258000000000003,2.99,2.567675,3.390225,3.47555,3.1971000000000003,3.0556500000000004
46,-58.0,174.0,8.0,3.14325,3.3411,3.0258,2.4825500000000003,3.3878,3.334325,3.200625,3.051975
47,-58.0,116.0,8.0,3.1373,3.0924499999999995,3.0268,2.478925,3.375525,3.16085,3.1932250000000004,3.044725
48,-58.0,58.0,8.0,3.1456000000000004,2.9400000000000004,3.078225,2.4614,3.3717,3.018325,3.191325,3.0241
49,-58.0,0.0,8.0,3.15685,2.719575,3.0801,2.5762,3.37755,2.903225,3.16635,3.0284000000000004
50,-58.0,-58.0,8.0,3.088125,2.8953,3.0304750000000005,2.657175,3.403575,3.03335,3.13135,3.0356
51,-58.0,-116.0,8.0,3.041375,3.1342,3.00605,2.6585,3.4066250000000005,3.1665,3.1332750000000003,3.027075
52,-58.0,-174.0,8.0,2.993825,3.315325,2.998975,2.7103500000000005,3.4175750000000003,3.300725,3.144175,3.0597
53,-58.0,-232.0,8.0,2.9920750000000003,3.5434,3.014625,2.7748,3.422,3.42735,3.173225,3.0506
54,-58.0,-290.0,8.0,2.974625,3.670025,3.040075,2.9079500000000005,3.43085,3.5420750000000005,3.19715,3.091125
55,0.0,290.0,8.0,3.1488,3.74065,3.2506,1.917,3.4216,3.624925,3.2086,3.047225
56,0.0,232.0,8.0,3.149625,3.627675,3.217,2.139925,3.3921750000000004,3.491725,3.190325,3.01045
57,0.0,174.0,8.0,3.147725,3.45285,3.1673500000000003,2.192725,3.3845750000000003,3.339675,3.191075,3.0153000000000003
58,0.0,116.0,8.0,3.1558999999999995,3.2707500000000005,3.132325,2.263925,3.3826,3.169325,3.1928500000000004,3.006375
59,0.0,58.0,8.0,3.171375,3.089125,3.1099,2.3722,3.3814,2.9875000000000003,3.1937,2.9858
60,0.0,0.0,8.0,3.15315,3.006325,3.0885,2.49005,3.367325,2.913975,3.216775,2.9914
61,0.0,-58.0,8.0,3.183475,3.0520250000000004,3.03735,2.560825,3.393975,3.0520250000000004,3.167775,3.008475
62,0.0,-116.0,8.0,3.1618500000000003,3.236175,3.0139,2.576,3.3906750000000003,3.159975,3.161,2.962575
63,0.0,-174.0,8.0,3.158175,3.407925,3.0029000000000003,2.610475,3.389125,3.31615,3.181025,2.968725
64,0.0,-232.0,8.0,3.2138750000000003,3.600625,3.016025,2.7003,3.3923750000000004,3.478625,3.226675,2.955725
65,0.0,-290.0,8.0,3.2629,3.721175,3.034825,2.829225,3.41075,3.586025,3.2737,2.860275
66,58.0,290.0,8.0,3.17675,3.704425,3.16815,2.885275,3.044925,3.537175,3.209025,3.1210500000000003
67,58.0,232.0,8.0,3.1772,3.606375,3.151925,2.77575,3.10305,3.4028,3.18615,3.0951000000000004
68,58.0,174.0,8.0,3.1728750000000003,3.472175,3.131875,2.62975,3.208825,3.2100250000000004,3.1728750000000003,3.04565
69,58.0,116.0,8.0,3.16405,3.3009000000000004,3.099375,2.59705,3.2828,3.028875,3.183075,3.0482
70,58.0,58.0,8.0,3.1631,3.107825,3.079025,2.617125,3.3412,2.7996,3.1987,3.0485750000000005
71,58.0,0.0,8.0,3.14395,2.9939000000000004,3.0714,2.6892,3.38475,2.65375,3.218,3.0497
72,58.0,-58.0,8.0,3.1358750000000004,3.15955,3.061825,2.6357,3.360575,2.89095,3.145125,2.99135
73,58.0,-116.0,8.0,3.1576,3.3723250000000005,3.0542,2.706125,3.381975,3.116275,3.128175,3.029625
74,58.0,-174.0,8.0,3.188475,3.4908250000000005,3.047075,2.728775,3.36495,3.259475,3.04105,3.02285
75,58.0,-232.0,8.0,3.211225,3.582975,3.051725,2.772475,3.359775,3.3974750000000005,2.99805,3.039725
76,58.0,-290.0,8.0,3.232675,3.706225,3.069675,2.9091000000000005,3.3891750000000003,3.5583,2.986375,3.054625
77,116.0,290.0,8.0,3.198075,3.59605,3.14055,2.876825,2.91595,3.493075,3.2107750000000004,3.095575
78,116.0,232.0,8.0,3.18595,3.48715,3.116475,2.778625,2.9333750000000003,3.2953750000000004,3.18535,3.065925
79,116.0,174.0,8.0,3.174575,3.315875,3.070475,2.7383,3.0342,3.043375,3.1684499999999995,3.0582500000000006
80,116.0,116.0,8.0,3.1818000000000004,3.1882,3.06125,2.754875,3.196375,2.915,3.1856000000000004,3.0821
81,116.0,58.0,8.0,3.1720250000000005,3.02905,3.0543500000000003,2.8034000000000003,3.30265,2.71735,3.20835,3.094975
82,116.0,0.0,8.0,3.15415,2.935775,3.0470750000000004,2.841825,3.4088,2.445775,3.19295,3.0703500000000004
83,116.0,-58.0,8.0,3.1474,3.073075,3.0606750000000003,2.861025,3.388125,2.738975,3.04645,3.0473
84,116.0,-116.0,8.0,3.15695,3.25005,3.0560250000000004,2.89955,3.38505,3.032325,2.9651500000000004,3.078525
85,116.0,-174.0,8.0,3.152525,3.364075,3.0593,2.869975,3.368975,3.185925,2.8506,3.06335
86,116.0,-232.0,8.0,3.190275,3.528925,3.0692250000000003,2.940075,3.411525,3.404125,2.84545,3.0737250000000005
87,116.0,-290.0,8.0,3.205625,3.631675,3.07255,3.0399,3.450625,3.53585,2.8662,3.092575
88,174.0,290.0,8.0,3.19375,3.559825,3.11985,2.957975,2.67715,3.46245,3.2418,3.108325
89,174.0,232.0,8.0,3.197975,3.4505250000000003,3.097475,2.931025,2.8339000000000003,3.2743,3.2367250000000003,3.113325
90,174.0,174.0,8.0,3.1922,3.3216250000000005,3.0722750000000003,2.916675,2.9804500000000003,3.0808500000000003,3.2292750000000003,3.1091
91,174.0,116.0,8.0,3.172625,3.2136,3.05935,2.9346750000000004,3.1154,2.91205,3.255075,3.11765
92,174.0,58.0,8.0,3.1612,3.035825,3.042625,2.970175,3.32775,2.547325,3.2839,3.1174
93,174.0,0.0,8.0,3.13175,2.9507250000000003,3.0347,3.017875,3.4788,2.301125,3.236525,3.12325
94,174.0,-58.0,8.0,3.134675,3.1116,3.06345,3.016725,3.44455,2.7712,3.0050250000000003,3.10615
