channel names:							
010_232_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	010_232_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	010_232_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	010_232_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	010_232_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	010_232_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	010_232_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	010_232_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016
dt:							
0,020000							
data:							
2,907133E-1	1,175109E-2	-7,395327E-1	2,327386E-1	-3,809703E-1	-5,168164E-1	-8,316281E-2	-9,361821E-2
2,906656E-1	1,178685E-2	-7,394970E-1	2,327982E-1	-3,810537E-1	-5,167807E-1	-8,309128E-2	-9,361821E-2
2,905226E-1	1,181070E-2	-7,395685E-1	2,326075E-1	-3,811968E-1	-5,168641E-1	-8,318665E-2	-9,366590E-2
2,905345E-1	1,170341E-2	-7,395923E-1	2,323214E-1	-3,813518E-1	-5,169714E-1	-8,296015E-2	-9,371358E-2
2,904629E-1	1,166764E-2	-7,395327E-1	2,320234E-1	-3,810657E-1	-5,170787E-1	-8,284094E-2	-9,366590E-2
2,904153E-1	1,167957E-2	-7,395446E-1	2,320711E-1	-3,810299E-1	-5,170310E-1	-8,311512E-2	-9,372550E-2
2,905345E-1	1,177493E-2	-7,395804E-1	2,323691E-1	-3,811253E-1	-5,169118E-1	-8,318665E-2	-9,372550E-2
2,906775E-1	1,176301E-2	-7,395566E-1	2,325002E-1	-3,808392E-1	-5,167807E-1	-8,312705E-2	-9,359437E-2
