channel names:							
022_290_232_50 1 - Brücke (V/V) - R0__PXI1Slot2_ai0	022_290_232_50 1 - Brücke (V/V) - R1__PXI1Slot2_ai1	022_290_232_50 1 - Brücke (V/V) - R2__PXI1Slot2_ai2	022_290_232_50 1 - Brücke (V/V) - R3__PXI1Slot2_ai3	022_290_232_50 1 - Brücke (V/V) - R4__PXI1Slot2_ai4	022_290_232_50 1 - Brücke (V/V) - R5__PXI1Slot2_ai5	022_290_232_50 1 - Brücke (V/V) - R6__PXI1Slot2_ai6	022_290_232_50 1 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185	23.05.2024 15:08:58,501185
dt:							
0,020000							
data:							
2,971983E-1	1,884404E-2	-7,275045E-1	2,343718E-1	-5,594624E-1	-4,322494E-1	-5,139353E-2	-1,033219E-1
2,971387E-1	1,880828E-2	-7,275045E-1	2,341691E-1	-5,593789E-1	-4,323209E-1	-5,141737E-2	-1,033576E-1
2,971387E-1	1,876060E-2	-7,275760E-1	2,337996E-1	-5,592835E-1	-4,325116E-1	-5,146506E-2	-1,034411E-1
2,971029E-1	1,871291E-2	-7,275403E-1	2,337877E-1	-5,591882E-1	-4,325712E-1	-5,156043E-2	-1,035126E-1
2,970910E-1	1,873676E-2	-7,276118E-1	2,340261E-1	-5,596054E-1	-4,324401E-1	-5,164387E-2	-1,034649E-1
2,972460E-1	1,876060E-2	-7,275283E-1	2,344791E-1	-5,595100E-1	-4,322971E-1	-5,144122E-2	-1,033338E-1
2,972102E-1	1,885597E-2	-7,276595E-1	2,346221E-1	-5,600703E-1	-4,321421E-1	-5,154850E-2	-1,034411E-1
2,972460E-1	1,884404E-2	-7,275283E-1	2,343837E-1	-5,598081E-1	-4,321421E-1	-5,146506E-2	-1,033815E-1
2,970433E-1	1,867715E-2	-7,274091E-1	2,340857E-1	-5,595696E-1	-4,322851E-1	-5,157235E-2	-1,034172E-1
2,969718E-1	1,866523E-2	-7,274807E-1	2,339188E-1	-5,596173E-1	-4,324282E-1	-5,163195E-2	-1,035364E-1
2,972340E-1	1,887981E-2	-7,273853E-1	2,341215E-1	-5,595458E-1	-4,322613E-1	-5,164387E-2	-1,035126E-1
2,971983E-1	1,895133E-2	-7,273376E-1	2,343480E-1	-5,596650E-1	-4,322017E-1	-5,150082E-2	-1,033338E-1
2,969956E-1	1,882020E-2	-7,275164E-1	2,343122E-1	-5,595935E-1	-4,321778E-1	-5,140545E-2	-1,033815E-1
2,969956E-1	1,884404E-2	-7,274926E-1	2,341453E-1	-5,597246E-1	-4,322613E-1	-5,145314E-2	-1,034053E-1
2,970075E-1	1,890365E-2	-7,275164E-1	2,339069E-1	-5,597008E-1	-4,324759E-1	-5,152466E-2	-1,034172E-1
2,970791E-1	1,874868E-2	-7,275164E-1	2,339307E-1	-5,597723E-1	-4,324163E-1	-5,152466E-2	-1,033934E-1
2,970195E-1	1,885597E-2	-7,274926E-1	2,339784E-1	-5,597365E-1	-4,322732E-1	-5,148890E-2	-1,033219E-1
2,970791E-1	1,893941E-2	-7,274568E-1	2,341334E-1	-5,597365E-1	-4,321898E-1	-5,114319E-2	-1,032622E-1
2,970791E-1	1,882020E-2	-7,274687E-1	2,342168E-1	-5,598081E-1	-4,321540E-1	-5,120280E-2	-1,034053E-1
2,970075E-1	1,880828E-2	-7,274211E-1	2,341095E-1	-5,598677E-1	-4,323447E-1	-5,150082E-2	-1,033576E-1
2,969360E-1	1,872483E-2	-7,274449E-1	2,338234E-1	-5,598200E-1	-4,324759E-1	-5,162003E-2	-1,033099E-1
2,969122E-1	1,866523E-2	-7,276237E-1	2,338473E-1	-5,596412E-1	-4,324043E-1	-5,160811E-2	-1,033457E-1
2,968764E-1	1,870099E-2	-7,275880E-1	2,340499E-1	-5,596531E-1	-4,323328E-1	-5,159619E-2	-1,033099E-1
2,970075E-1	1,864139E-2	-7,274807E-1	2,341334E-1	-5,598796E-1	-4,323209E-1	-5,147698E-2	-1,033338E-1
2,970791E-1	1,874868E-2	-7,275880E-1	2,341930E-1	-5,594624E-1	-4,323328E-1	-5,146506E-2	-1,032742E-1
2,971506E-1	1,880828E-2	-7,274687E-1	2,342049E-1	-5,597127E-1	-4,322971E-1	-5,140545E-2	-1,032622E-1
2,971625E-1	1,873676E-2	-7,275403E-1	2,343003E-1	-5,594385E-1	-4,323328E-1	-5,151274E-2	-1,031907E-1
2,971029E-1	1,879636E-2	-7,274568E-1	2,340022E-1	-5,596412E-1	-4,324043E-1	-5,147698E-2	-1,032861E-1
2,970195E-1	1,874868E-2	-7,275283E-1	2,341453E-1	-5,595935E-1	-4,323686E-1	-5,138161E-2	-1,031311E-1
2,971267E-1	1,876060E-2	-7,275045E-1	2,343956E-1	-5,594862E-1	-4,322971E-1	-5,135777E-2	-1,031907E-1
2,971267E-1	1,891557E-2	-7,273615E-1	2,345148E-1	-5,597961E-1	-4,322374E-1	-5,140545E-2	-1,032384E-1
2,971744E-1	1,887981E-2	-7,273018E-1	2,345625E-1	-5,597723E-1	-4,322255E-1	-5,139353E-2	-1,032146E-1
2,970791E-1	1,880828E-2	-7,274091E-1	2,342407E-1	-5,598081E-1	-4,322851E-1	-5,151274E-2	-1,032622E-1
2,969479E-1	1,872483E-2	-7,274211E-1	2,337877E-1	-5,597246E-1	-4,324282E-1	-5,164387E-2	-1,033219E-1
2,969360E-1	1,882020E-2	-7,273853E-1	2,335850E-1	-5,595577E-1	-4,325235E-1	-5,158427E-2	-1,034291E-1
2,969837E-1	1,889173E-2	-7,274211E-1	2,338115E-1	-5,597604E-1	-4,324878E-1	-5,156043E-2	-1,034172E-1
2,970552E-1	1,890365E-2	-7,272661E-1	2,340261E-1	-5,598677E-1	-4,322971E-1	-5,162003E-2	-1,033099E-1
2,970075E-1	1,895133E-2	-7,272780E-1	2,340738E-1	-5,598915E-1	-4,322613E-1	-5,142930E-2	-1,032384E-1
2,970075E-1	1,890365E-2	-7,274568E-1	2,338711E-1	-5,599630E-1	-4,324043E-1	-5,132201E-2	-1,032146E-1
2,970195E-1	1,891557E-2	-7,274568E-1	2,337638E-1	-5,596650E-1	-4,324759E-1	-5,150082E-2	-1,032742E-1
2,970195E-1	1,895133E-2	-7,274568E-1	2,338354E-1	-5,598200E-1	-4,325474E-1	-5,167964E-2	-1,033338E-1
2,971148E-1	1,891557E-2	-7,274807E-1	2,339784E-1	-5,596292E-1	-4,323924E-1	-5,152466E-2	-1,033099E-1
2,970552E-1	1,889173E-2	-7,275403E-1	2,342168E-1	-5,596531E-1	-4,323209E-1	-5,139353E-2	-1,032265E-1
2,970671E-1	1,898710E-2	-7,275999E-1	2,341811E-1	-5,595458E-1	-4,322971E-1	-5,133393E-2	-1,031907E-1
2,970791E-1	1,893941E-2	-7,274807E-1	2,341691E-1	-5,595577E-1	-4,323090E-1	-5,125048E-2	-1,032742E-1
2,971267E-1	1,893941E-2	-7,275283E-1	2,342049E-1	-5,594743E-1	-4,324163E-1	-5,132201E-2	-1,033099E-1
2,970552E-1	1,895133E-2	-7,274807E-1	2,340976E-1	-5,596173E-1	-4,323567E-1	-5,129817E-2	-1,033338E-1
2,970910E-1	1,886789E-2	-7,273853E-1	2,341095E-1	-5,592478E-1	-4,324163E-1	-5,115511E-2	-1,032503E-1
2,971744E-1	1,905862E-2	-7,274449E-1	2,343003E-1	-5,595816E-1	-4,324282E-1	-5,114319E-2	-1,032146E-1
