channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,963519E-1	2,802316E-2	-7,255733E-1	2,328936E-1	-5,309713E-1	-4,338349E-1	-5,098822E-2	-9,887534E-2
2,962804E-1	2,813045E-2	-7,256091E-1	2,326075E-1	-5,310429E-1	-4,340375E-1	-5,101206E-2	-9,889919E-2
2,962446E-1	2,803508E-2	-7,256329E-1	2,324406E-1	-5,309594E-1	-4,340852E-1	-5,097630E-2	-9,885150E-2
2,962804E-1	2,797548E-2	-7,256210E-1	2,326075E-1	-5,310786E-1	-4,340375E-1	-5,110743E-2	-9,894687E-2
2,962684E-1	2,810661E-2	-7,255495E-1	2,326790E-1	-5,312217E-1	-4,339421E-1	-5,129817E-2	-9,895879E-2
2,962565E-1	2,808276E-2	-7,256210E-1	2,329055E-1	-5,310190E-1	-4,338349E-1	-5,125048E-2	-9,872037E-2
2,962804E-1	2,813045E-2	-7,256687E-1	2,329890E-1	-5,310429E-1	-4,338349E-1	-5,098822E-2	-9,873229E-2
2,963519E-1	2,827350E-2	-7,257402E-1	2,328102E-1	-5,309237E-1	-4,338349E-1	-5,102398E-2	-9,881574E-2
2,963519E-1	2,827350E-2	-7,256806E-1	2,328817E-1	-5,308640E-1	-4,338229E-1	-5,115511E-2	-9,885150E-2
2,962327E-1	2,820197E-2	-7,256568E-1	2,328221E-1	-5,310429E-1	-4,337991E-1	-5,117896E-2	-9,886342E-2
2,962684E-1	2,815429E-2	-7,255972E-1	2,328698E-1	-5,309475E-1	-4,339541E-1	-5,123856E-2	-9,877998E-2
2,963280E-1	2,816621E-2	-7,256329E-1	2,326552E-1	-5,310190E-1	-4,339421E-1	-5,113127E-2	-9,885150E-2
2,960896E-1	2,822582E-2	-7,257164E-1	2,325121E-1	-5,311859E-1	-4,340733E-1	-5,114319E-2	-9,897071E-2
2,961254E-1	2,817813E-2	-7,256210E-1	2,324644E-1	-5,312336E-1	-4,340733E-1	-5,135777E-2	-9,901839E-2
2,961731E-1	2,816621E-2	-7,256687E-1	2,323572E-1	-5,313051E-1	-4,340613E-1	-5,135777E-2	-9,903032E-2
2,963042E-1	2,814237E-2	-7,255852E-1	2,325479E-1	-5,311382E-1	-4,340613E-1	-5,108359E-2	-9,883958E-2
2,963996E-1	2,821389E-2	-7,256329E-1	2,328459E-1	-5,311740E-1	-4,338706E-1	-5,115511E-2	-9,889919E-2
2,962923E-1	2,834502E-2	-7,255256E-1	2,327505E-1	-5,311382E-1	-4,339541E-1	-5,111935E-2	-9,883958E-2
2,962804E-1	2,822582E-2	-7,255972E-1	2,325240E-1	-5,310190E-1	-4,340494E-1	-5,094054E-2	-9,883958E-2
2,961612E-1	2,804700E-2	-7,256687E-1	2,324168E-1	-5,309833E-1	-4,341448E-1	-5,119088E-2	-9,900647E-2
2,962327E-1	2,804700E-2	-7,255733E-1	2,324644E-1	-5,309594E-1	-4,341686E-1	-5,122664E-2	-9,900647E-2
