channel names:							
001_-290_290_50 3 - Brücke (V/V) - R0__PXI1Slot2_ai0	001_-290_290_50 3 - Brücke (V/V) - R1__PXI1Slot2_ai1	001_-290_290_50 3 - Brücke (V/V) - R2__PXI1Slot2_ai2	001_-290_290_50 3 - Brücke (V/V) - R3__PXI1Slot2_ai3	001_-290_290_50 3 - Brücke (V/V) - R4__PXI1Slot2_ai4	001_-290_290_50 3 - Brücke (V/V) - R5__PXI1Slot2_ai5	001_-290_290_50 3 - Brücke (V/V) - R6__PXI1Slot2_ai6	001_-290_290_50 3 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154	23.05.2024 13:35:43,229154
dt:							
0,020000							
data:							
2,905464E-1	5,552208E-3	-7,332623E-1	3,218237E-1	-2,480162E-1	-5,121673E-1	-7,968190E-2	-1,212032E-1
2,904868E-1	5,528367E-3	-7,332862E-1	3,215495E-1	-2,478374E-1	-5,123580E-1	-7,962229E-2	-1,212509E-1
2,903676E-1	5,373394E-3	-7,332504E-1	3,212754E-1	-2,477777E-1	-5,124415E-1	-7,976534E-2	-1,213582E-1
2,905464E-1	5,325711E-3	-7,331908E-1	3,213111E-1	-2,474916E-1	-5,125130E-1	-7,984879E-2	-1,213225E-1
2,904868E-1	5,492604E-3	-7,333458E-1	3,216449E-1	-2,475036E-1	-5,123222E-1	-7,961037E-2	-1,214297E-1
2,904391E-1	5,564129E-3	-7,333458E-1	3,217999E-1	-2,474678E-1	-5,121911E-1	-7,947924E-2	-1,212390E-1
2,905822E-1	5,552208E-3	-7,332146E-1	3,220025E-1	-2,475870E-1	-5,121554E-1	-7,956269E-2	-1,213821E-1
2,906060E-1	5,504525E-3	-7,332623E-1	3,220264E-1	-2,476705E-1	-5,121673E-1	-7,953885E-2	-1,214417E-1
2,905583E-1	5,587971E-3	-7,332265E-1	3,218953E-1	-2,475393E-1	-5,122626E-1	-7,976534E-2	-1,213821E-1
2,904629E-1	5,611813E-3	-7,332981E-1	3,219906E-1	-2,474082E-1	-5,122388E-1	-7,992032E-2	-1,213940E-1
2,905941E-1	5,635655E-3	-7,331431E-1	3,219310E-1	-2,476824E-1	-5,122269E-1	-7,976534E-2	-1,212748E-1
2,905941E-1	5,564129E-3	-7,332385E-1	3,219310E-1	-2,476228E-1	-5,122150E-1	-7,983687E-2	-1,212986E-1
2,904153E-1	5,504525E-3	-7,333815E-1	3,218595E-1	-2,475632E-1	-5,122626E-1	-7,955077E-2	-1,212867E-1
2,904987E-1	5,564129E-3	-7,332504E-1	3,217522E-1	-2,476347E-1	-5,122746E-1	-7,978919E-2	-1,214417E-1
2,904987E-1	5,576050E-3	-7,333100E-1	3,217760E-1	-2,477897E-1	-5,123222E-1	-7,992032E-2	-1,214655E-1
2,905345E-1	5,468762E-3	-7,332981E-1	3,217641E-1	-2,476228E-1	-5,123461E-1	-7,958653E-2	-1,213225E-1
2,905345E-1	5,432999E-3	-7,332981E-1	3,218953E-1	-2,477658E-1	-5,122865E-1	-7,962229E-2	-1,213105E-1
2,904629E-1	5,444920E-3	-7,332862E-1	3,218714E-1	-2,478850E-1	-5,121673E-1	-7,983687E-2	-1,213821E-1
2,905941E-1	5,492604E-3	-7,331669E-1	3,220264E-1	-2,476347E-1	-5,122388E-1	-7,978919E-2	-1,213701E-1
2,905702E-1	5,432999E-3	-7,333458E-1	3,220025E-1	-2,477181E-1	-5,121792E-1	-7,983687E-2	-1,213105E-1
2,905226E-1	5,385315E-3	-7,332504E-1	3,219906E-1	-2,475870E-1	-5,121792E-1	-7,999184E-2	-1,212509E-1
2,905345E-1	5,504525E-3	-7,331669E-1	3,221337E-1	-2,474320E-1	-5,121554E-1	-7,983687E-2	-1,212986E-1
2,905822E-1	5,540287E-3	-7,333100E-1	3,220741E-1	-2,476466E-1	-5,120481E-1	-7,996800E-2	-1,212867E-1
2,905464E-1	5,576050E-3	-7,332623E-1	3,221456E-1	-2,475870E-1	-5,121196E-1	-7,977726E-2	-1,214178E-1
2,904272E-1	5,432999E-3	-7,332623E-1	3,220145E-1	-2,476705E-1	-5,122746E-1	-7,982495E-2	-1,215013E-1
2,903437E-1	5,337632E-3	-7,332504E-1	3,216688E-1	-2,476705E-1	-5,123342E-1	-7,990839E-2	-1,215609E-1
2,904153E-1	5,409157E-3	-7,332623E-1	3,216330E-1	-2,475870E-1	-5,123222E-1	-7,992032E-2	-1,215490E-1
2,904749E-1	5,516446E-3	-7,334054E-1	3,219668E-1	-2,476109E-1	-5,121792E-1	-8,006337E-2	-1,214774E-1
2,905464E-1	5,516446E-3	-7,334411E-1	3,221218E-1	-2,476228E-1	-5,121196E-1	-7,996800E-2	-1,213582E-1
2,904272E-1	5,528367E-3	-7,333219E-1	3,221933E-1	-2,473963E-1	-5,120838E-1	-7,986071E-2	-1,214059E-1
2,904272E-1	5,444920E-3	-7,334054E-1	3,220264E-1	-2,475989E-1	-5,121434E-1	-7,978919E-2	-1,213821E-1
2,904272E-1	5,468762E-3	-7,333338E-1	3,218714E-1	-2,479208E-1	-5,122030E-1	-7,989647E-2	-1,214536E-1
2,904153E-1	5,576050E-3	-7,333338E-1	3,217641E-1	-2,477658E-1	-5,122984E-1	-7,975342E-2	-1,214178E-1
2,903676E-1	5,528367E-3	-7,333219E-1	3,219310E-1	-2,478374E-1	-5,122269E-1	-7,977726E-2	-1,213582E-1
2,905226E-1	5,623734E-3	-7,333934E-1	3,221098E-1	-2,477777E-1	-5,120838E-1	-7,982495E-2	-1,212509E-1
2,905464E-1	5,540287E-3	-7,333458E-1	3,222767E-1	-2,475393E-1	-5,121792E-1	-7,965806E-2	-1,212509E-1
2,905822E-1	5,528367E-3	-7,332981E-1	3,223125E-1	-2,476109E-1	-5,120481E-1	-7,972958E-2	-1,213225E-1
2,904749E-1	5,564129E-3	-7,333219E-1	3,219191E-1	-2,475513E-1	-5,121673E-1	-7,982495E-2	-1,213701E-1
2,904868E-1	5,504525E-3	-7,333577E-1	3,216926E-1	-2,473248E-1	-5,123222E-1	-8,001568E-2	-1,213582E-1
2,905106E-1	5,504525E-3	-7,334173E-1	3,217045E-1	-2,475632E-1	-5,123461E-1	-7,993224E-2	-1,213821E-1
2,904749E-1	5,552208E-3	-7,333338E-1	3,217641E-1	-2,476466E-1	-5,122626E-1	-7,978919E-2	-1,214059E-1
2,904868E-1	5,611813E-3	-7,333219E-1	3,219072E-1	-2,474797E-1	-5,122984E-1	-7,972958E-2	-1,213701E-1
2,905941E-1	5,611813E-3	-7,333577E-1	3,220979E-1	-2,476585E-1	-5,121673E-1	-7,947924E-2	-1,213940E-1
2,906179E-1	5,552208E-3	-7,333219E-1	3,219549E-1	-2,477539E-1	-5,121315E-1	-7,977726E-2	-1,213940E-1
2,905464E-1	5,516446E-3	-7,332742E-1	3,219429E-1	-2,477181E-1	-5,122984E-1	-7,992032E-2	-1,213463E-1
2,905702E-1	5,492604E-3	-7,333696E-1	3,216926E-1	-2,477777E-1	-5,122388E-1	-7,989647E-2	-1,214417E-1
2,906060E-1	5,325711E-3	-7,334054E-1	3,217522E-1	-2,476347E-1	-5,123699E-1	-7,976534E-2	-1,213582E-1
2,905345E-1	5,480683E-3	-7,333458E-1	3,219906E-1	-2,474320E-1	-5,123819E-1	-7,957461E-2	-1,212867E-1
2,906179E-1	5,504525E-3	-7,333696E-1	3,220383E-1	-2,476228E-1	-5,121792E-1	-7,953885E-2	-1,212390E-1
2,906775E-1	5,480683E-3	-7,333934E-1	3,220979E-1	-2,473844E-1	-5,122865E-1	-7,963421E-2	-1,212986E-1
2,905583E-1	5,468762E-3	-7,333815E-1	3,221694E-1	-2,473367E-1	-5,122030E-1	-7,964613E-2	-1,212509E-1
2,905345E-1	5,456841E-3	-7,333338E-1	3,221218E-1	-2,476109E-1	-5,123103E-1	-7,975342E-2	-1,213940E-1
2,905464E-1	5,385315E-3	-7,333934E-1	3,218237E-1	-2,476585E-1	-5,123938E-1	-8,003953E-2	-1,214417E-1
2,905702E-1	5,325711E-3	-7,333100E-1	3,218356E-1	-2,476347E-1	-5,124057E-1	-8,001568E-2	-1,214178E-1
2,905583E-1	5,421078E-3	-7,332981E-1	3,217880E-1	-2,478731E-1	-5,123938E-1	-8,002760E-2	-1,214417E-1
2,905226E-1	5,361474E-3	-7,332027E-1	3,218476E-1	-2,476824E-1	-5,123580E-1	-8,002760E-2	-1,214417E-1
2,905226E-1	5,385315E-3	-7,333219E-1	3,219906E-1	-2,477181E-1	-5,123342E-1	-7,986071E-2	-1,214297E-1
2,905464E-1	5,325711E-3	-7,333577E-1	3,220621E-1	-2,477539E-1	-5,122388E-1	-8,001568E-2	-1,214297E-1
2,906298E-1	5,385315E-3	-7,333100E-1	3,220741E-1	-2,475632E-1	-5,123222E-1	-8,005145E-2	-1,214059E-1
2,904868E-1	5,432999E-3	-7,332862E-1	3,219787E-1	-2,475393E-1	-5,123819E-1	-7,988455E-2	-1,213701E-1
2,904391E-1	5,349553E-3	-7,333815E-1	3,218714E-1	-2,474559E-1	-5,123461E-1	-8,000376E-2	-1,214655E-1
2,904749E-1	5,468762E-3	-7,334173E-1	3,218595E-1	-2,474916E-1	-5,124057E-1	-8,012297E-2	-1,213940E-1
2,905106E-1	5,528367E-3	-7,332981E-1	3,219310E-1	-2,474559E-1	-5,122746E-1	-7,986071E-2	-1,213105E-1
2,906418E-1	5,552208E-3	-7,332623E-1	3,219906E-1	-2,474678E-1	-5,122746E-1	-7,982495E-2	-1,212271E-1
2,904629E-1	5,504525E-3	-7,333219E-1	3,219787E-1	-2,475155E-1	-5,121673E-1	-7,975342E-2	-1,212986E-1
2,905226E-1	5,504525E-3	-7,332981E-1	3,219787E-1	-2,474320E-1	-5,122746E-1	-7,987263E-2	-1,214417E-1
2,905464E-1	5,444920E-3	-7,333100E-1	3,220383E-1	-2,474678E-1	-5,122388E-1	-7,984879E-2	-1,213225E-1
2,904629E-1	5,528367E-3	-7,332742E-1	3,221694E-1	-2,475870E-1	-5,122150E-1	-7,965806E-2	-1,213344E-1
2,905226E-1	5,671418E-3	-7,332385E-1	3,221218E-1	-2,475155E-1	-5,122507E-1	-7,950308E-2	-1,212748E-1
2,904391E-1	5,635655E-3	-7,333338E-1	3,220145E-1	-2,473248E-1	-5,122984E-1	-7,959845E-2	-1,212628E-1
2,904510E-1	5,611813E-3	-7,332623E-1	3,219668E-1	-2,473009E-1	-5,123580E-1	-7,978919E-2	-1,214536E-1
2,904510E-1	5,623734E-3	-7,332385E-1	3,220145E-1	-2,473963E-1	-5,123222E-1	-7,995608E-2	-1,213821E-1
2,903676E-1	5,611813E-3	-7,332742E-1	3,220860E-1	-2,474320E-1	-5,123580E-1	-7,969382E-2	-1,213701E-1
2,904272E-1	5,552208E-3	-7,332146E-1	3,219787E-1	-2,476347E-1	-5,121792E-1	-7,975342E-2	-1,213582E-1
2,904987E-1	5,576050E-3	-7,332146E-1	3,220621E-1	-2,477062E-1	-5,122865E-1	-7,981303E-2	-1,213344E-1
2,904272E-1	5,516446E-3	-7,332027E-1	3,219668E-1	-2,475632E-1	-5,121673E-1	-7,977726E-2	-1,213582E-1
2,904629E-1	5,540287E-3	-7,332385E-1	3,219191E-1	-2,477181E-1	-5,122626E-1	-7,989647E-2	-1,213821E-1
2,904391E-1	5,635655E-3	-7,332027E-1	3,217999E-1	-2,475989E-1	-5,122984E-1	-7,988455E-2	-1,213701E-1
2,904510E-1	5,528367E-3	-7,332862E-1	3,220741E-1	-2,476347E-1	-5,123222E-1	-7,972958E-2	-1,213225E-1
2,905106E-1	5,504525E-3	-7,332146E-1	3,222529E-1	-2,476705E-1	-5,121554E-1	-7,978919E-2	-1,212748E-1
2,905822E-1	5,599892E-3	-7,331193E-1	3,223721E-1	-2,475155E-1	-5,120481E-1	-7,981303E-2	-1,212032E-1
2,905464E-1	5,552208E-3	-7,332265E-1	3,223602E-1	-2,473367E-1	-5,120957E-1	-7,965806E-2	-1,212509E-1
2,905941E-1	5,504525E-3	-7,331908E-1	3,220979E-1	-2,473724E-1	-5,122269E-1	-7,963421E-2	-1,211913E-1
2,905226E-1	5,552208E-3	-7,332265E-1	3,218714E-1	-2,472651E-1	-5,123580E-1	-7,966998E-2	-1,212986E-1
2,905583E-1	5,516446E-3	-7,331789E-1	3,219072E-1	-2,473844E-1	-5,121673E-1	-7,977726E-2	-1,213105E-1
2,906418E-1	5,540287E-3	-7,331193E-1	3,223006E-1	-2,475393E-1	-5,119885E-1	-7,974150E-2	-1,213105E-1
2,906060E-1	5,611813E-3	-7,331312E-1	3,225151E-1	-2,476347E-1	-5,118573E-1	-7,949116E-2	-1,211556E-1
2,906775E-1	5,611813E-3	-7,331193E-1	3,223959E-1	-2,477420E-1	-5,119885E-1	-7,963421E-2	-1,211675E-1
2,906060E-1	5,528367E-3	-7,330954E-1	3,219906E-1	-2,476824E-1	-5,120600E-1	-7,981303E-2	-1,212867E-1
2,904868E-1	5,492604E-3	-7,331550E-1	3,215972E-1	-2,475513E-1	-5,122030E-1	-8,006337E-2	-1,213225E-1
2,904749E-1	5,349553E-3	-7,330835E-1	3,215495E-1	-2,476347E-1	-5,123699E-1	-8,019450E-2	-1,213701E-1
2,906298E-1	5,456841E-3	-7,330954E-1	3,218356E-1	-2,475155E-1	-5,122150E-1	-8,002760E-2	-1,212628E-1
2,906298E-1	5,564129E-3	-7,332265E-1	3,222052E-1	-2,477181E-1	-5,119765E-1	-7,984879E-2	-1,212152E-1
2,905941E-1	5,611813E-3	-7,332623E-1	3,223363E-1	-2,475870E-1	-5,120004E-1	-7,988455E-2	-1,211198E-1
2,905345E-1	5,564129E-3	-7,333219E-1	3,221098E-1	-2,474440E-1	-5,120838E-1	-7,997992E-2	-1,213701E-1
2,905106E-1	5,492604E-3	-7,334054E-1	3,217522E-1	-2,473367E-1	-5,123103E-1	-8,021834E-2	-1,213821E-1
