channel names:							
011_290_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	011_290_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	011_290_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	011_290_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	011_290_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	011_290_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	011_290_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	011_290_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310	23.05.2024 13:54:07,425310
dt:							
0,020000							
data:							
2,902364E-1	1,170341E-2	-7,321417E-1	2,309743E-1	-3,891719E-1	-5,162681E-1	-8,127930E-2	-9,936410E-2
2,900457E-1	1,148883E-2	-7,322729E-1	2,304498E-1	-3,891838E-1	-5,166734E-1	-8,158925E-2	-9,957868E-2
2,898073E-1	1,141731E-2	-7,323206E-1	2,301995E-1	-3,891361E-1	-5,168403E-1	-8,145812E-2	-9,974557E-2
2,899146E-1	1,157228E-2	-7,322490E-1	2,302948E-1	-3,892315E-1	-5,167211E-1	-8,161309E-2	-9,972173E-2
2,902364E-1	1,188222E-2	-7,322013E-1	2,307836E-1	-3,891480E-1	-5,164946E-1	-8,139851E-2	-9,944755E-2
2,904153E-1	1,197759E-2	-7,321417E-1	2,311174E-1	-3,891123E-1	-5,162919E-1	-8,126738E-2	-9,930450E-2
2,905941E-1	1,195375E-2	-7,321775E-1	2,311531E-1	-3,888977E-1	-5,163754E-1	-8,135083E-2	-9,922105E-2
2,904629E-1	1,187030E-2	-7,321894E-1	2,308670E-1	-3,887547E-1	-5,164469E-1	-8,148196E-2	-9,942371E-2
2,903795E-1	1,176301E-2	-7,322848E-1	2,306048E-1	-3,887189E-1	-5,165661E-1	-8,175614E-2	-9,959060E-2
2,905702E-1	1,189414E-2	-7,322967E-1	2,307598E-1	-3,884566E-1	-5,165184E-1	-8,162501E-2	-9,932834E-2
