channel names:							
012_-290_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	012_-290_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	012_-290_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	012_-290_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	012_-290_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	012_-290_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	012_-290_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	012_-290_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497
dt:							
0,020000							
data:							
3,064489E-1	2,009574E-2	-7,088840E-1	2,379481E-1	-3,991378E-1	-4,223431E-1	-4,925969E-2	-3,376323E-2
3,065085E-1	2,002422E-2	-7,088840E-1	2,380077E-1	-3,991259E-1	-4,222835E-1	-4,890206E-2	-3,365594E-2
3,064489E-1	2,021495E-2	-7,088363E-1	2,381388E-1	-3,991378E-1	-4,222596E-1	-4,890206E-2	-3,366786E-2
3,065443E-1	2,028648E-2	-7,088840E-1	2,381865E-1	-3,990067E-1	-4,222596E-1	-4,872324E-2	-3,372747E-2
3,065085E-1	2,023879E-2	-7,087886E-1	2,379838E-1	-3,988517E-1	-4,222358E-1	-4,872324E-2	-3,373939E-2
3,064131E-1	2,026263E-2	-7,087648E-1	2,377693E-1	-3,988517E-1	-4,222000E-1	-4,868748E-2	-3,369170E-2
3,064489E-1	1,997653E-2	-7,087529E-1	2,377812E-1	-3,990663E-1	-4,223431E-1	-4,899743E-2	-3,370363E-2
3,063893E-1	2,009574E-2	-7,087648E-1	2,378050E-1	-3,989947E-1	-4,223788E-1	-4,900935E-2	-3,384668E-2
3,064251E-1	2,005998E-2	-7,087290E-1	2,378646E-1	-3,990663E-1	-4,222000E-1	-4,904511E-2	-3,376323E-2
3,064131E-1	2,010766E-2	-7,088244E-1	2,380196E-1	-3,991616E-1	-4,222239E-1	-4,892590E-2	-3,364402E-2
3,064847E-1	2,020303E-2	-7,087886E-1	2,379242E-1	-3,992928E-1	-4,222358E-1	-4,869940E-2	-3,362018E-2
3,063774E-1	2,013150E-2	-7,088006E-1	2,376858E-1	-3,993404E-1	-4,222835E-1	-4,904511E-2	-3,366786E-2
3,063297E-1	2,002422E-2	-7,088840E-1	2,376143E-1	-3,992093E-1	-4,224861E-1	-4,912856E-2	-3,378707E-2
3,064131E-1	2,003614E-2	-7,088125E-1	2,377693E-1	-3,991735E-1	-4,223431E-1	-4,918816E-2	-3,376323E-2
3,064370E-1	2,016727E-2	-7,087648E-1	2,379362E-1	-3,992332E-1	-4,222119E-1	-4,929545E-2	-3,371555E-2
3,065085E-1	2,013150E-2	-7,087052E-1	2,381269E-1	-3,988994E-1	-4,222119E-1	-4,889014E-2	-3,358442E-2
3,065085E-1	2,004806E-2	-7,087648E-1	2,380911E-1	-3,991974E-1	-4,222358E-1	-4,898551E-2	-3,365594E-2
3,064489E-1	1,995269E-2	-7,088125E-1	2,379004E-1	-3,990424E-1	-4,223192E-1	-4,908087E-2	-3,369170E-2
3,064131E-1	1,990501E-2	-7,087767E-1	2,378527E-1	-3,990543E-1	-4,224504E-1	-4,922392E-2	-3,369170E-2
3,064608E-1	1,996461E-2	-7,088482E-1	2,379004E-1	-3,990663E-1	-4,224146E-1	-4,911664E-2	-3,367978E-2
3,065085E-1	1,996461E-2	-7,088125E-1	2,381865E-1	-3,988994E-1	-4,223550E-1	-4,899743E-2	-3,362018E-2
3,065681E-1	2,013150E-2	-7,088125E-1	2,382699E-1	-3,991497E-1	-4,222000E-1	-4,898551E-2	-3,364402E-2
3,065443E-1	2,011958E-2	-7,089317E-1	2,382461E-1	-3,991974E-1	-4,221762E-1	-4,900935E-2	-3,357249E-2
3,064966E-1	2,005998E-2	-7,088959E-1	2,382580E-1	-3,993047E-1	-4,223192E-1	-4,905703E-2	-3,371555E-2
3,063774E-1	2,004806E-2	-7,088363E-1	2,377693E-1	-3,993524E-1	-4,224980E-1	-4,917624E-2	-3,382283E-2
3,064608E-1	1,992885E-2	-7,088959E-1	2,377454E-1	-3,992689E-1	-4,225100E-1	-4,897358E-2	-3,370363E-2
3,065324E-1	2,009574E-2	-7,088482E-1	2,382580E-1	-3,991139E-1	-4,222477E-1	-4,890206E-2	-3,358442E-2
3,065204E-1	2,023879E-2	-7,087886E-1	2,385680E-1	-3,991974E-1	-4,221523E-1	-4,885437E-2	-3,354865E-2
3,065800E-1	2,017919E-2	-7,086694E-1	2,385322E-1	-3,988278E-1	-4,220451E-1	-4,899743E-2	-3,357249E-2
3,064370E-1	1,995269E-2	-7,088006E-1	2,382342E-1	-3,989590E-1	-4,222000E-1	-4,879477E-2	-3,365594E-2
3,063059E-1	1,989309E-2	-7,089317E-1	2,378289E-1	-3,988159E-1	-4,224146E-1	-4,904511E-2	-3,369170E-2
