Datei_ID,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,0,0,20,1.904375,2.686875,2.160625,3.41275,2.6590000000000003,3.801375,3.234,3.244375
1,58,0,20,2.394875,2.677,2.293375,3.437625,2.823375,3.801125,2.857125,3.20275
2,116,0,20,2.75375,2.661,2.25775,3.39975,2.9170000000000003,3.80025,2.4405,3.186875
3,174,0,20,3.009,2.638875,2.269125,3.4025,2.97325,3.80125,2.0745,3.28375
4,232,0,20,3.243125,2.639375,2.390875,3.4013750000000003,3.0125,3.801,1.78525,3.45325
5,290,0,20,3.452125,2.663875,2.6235,3.440875,3.083375,3.80075,1.297125,3.609
6,0,-58,20,2.05975,2.652125,2.490875,3.4,2.5985,3.80075,3.614375,3.248125
7,58,-58,20,2.462,2.687625,2.5065,3.416125,2.765625,3.800625,3.24675,3.1746250000000003
8,116,-58,20,2.822,2.693875,2.8035,3.358,2.87225,3.736875,3.513,3.1401250000000003
9,174,-58,20,3.032375,2.675375,2.486,3.361875,2.94075,3.786,2.901125,3.205125
10,232,-58,20,3.273875,2.695125,2.623625,3.3815,3.018,3.753375,3.040875,3.31125
11,290,-58,20,3.43675,2.713375,2.86625,3.4246250000000003,3.074125,3.723625,3.55525,3.385875
12,0,-116,20,2.066375,2.622875,2.7895,3.391125,2.520625,3.8,3.78525,3.238125
13,58,-116,20,2.464875,2.680375,2.86725,3.398875,2.7338750000000003,3.799375,3.652375,3.160125
14,116,-116,20,2.794125,2.674875,2.47475,3.38875,2.92625,3.800125,2.971,3.1535
15,174,-116,20,3.00825,2.67925,2.7245,3.3455,2.934125,3.54,3.402625,3.181375
16,232,-116,20,3.24575,2.72125,2.85975,3.358375,3.0,3.40525,3.645,3.2185
17,290,-116,20,3.42925,2.72975,3.070625,3.435625,3.08675,3.330625,3.80075,3.332125
18,0,-174,20,2.1695,2.58475,3.084375,3.358625,2.544375,3.799625,3.799625,3.2691250000000003
19,58,-174,20,2.47225,2.66125,3.087875,3.40025,2.72675,3.7915,3.79775,3.17575
20,116,-174,20,2.863375,2.69225,3.089625,3.3525,2.903,3.521125,3.800125,3.185125
21,174,-174,20,3.05425,2.6975,3.01975,3.326375,2.961,3.21225,3.799625,3.20125
22,232,-174,20,3.26425,2.727125,3.07625,3.36075,3.032375,2.984625,3.800875,3.2275
23,290,-174,20,3.4210000000000003,2.75525,3.239375,3.423625,3.0972500000000003,2.737625,3.80175,3.31125
24,0,-232,20,2.039875,2.56025,3.27525,3.35375,2.3335,3.799875,3.799875,3.213
25,58,-232,20,2.631875,2.68775,3.361875,3.398875,2.8285,3.775625,3.799875,3.208125
26,116,-232,20,2.887625,2.709625,3.29425,3.328625,2.940875,3.379125,3.801125,3.22125
27,174,-232,20,3.114,2.713,3.256875,3.3295,3.00175,2.9682500000000003,3.801,3.280625
28,232,-232,20,3.287375,2.740375,3.25975,3.358625,3.0545,2.549,3.800875,3.304125
29,290,-232,20,3.4253750000000003,2.773125,3.365,3.431,3.124375,2.301125,3.801,3.347375
30,0,-290,20,2.52025,2.626625,3.633875,3.482125,2.276125,3.79975,3.799875,3.30175
31,58,-290,20,2.77525,2.69525,3.587875,3.437125,2.868375,3.79675,3.80025,3.282375
32,116,-290,20,3.05025,2.731875,3.5335,3.367625,2.981,3.590125,3.800375,3.334375
33,174,-290,20,3.192,2.744125,3.465375,3.32875,3.0183750000000003,3.134,3.80125,3.380125
34,232,-290,20,3.31875,2.768625,3.48,3.34625,3.059125,2.7960000000000003,3.800875,3.4285
35,290,-290,20,3.436125,2.769375,3.504625,3.43,3.115,1.657625,3.801125,3.442875
