Datei_ID,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,-290,290,20,3.619,0.680625,3.1875,3.247125,3.137875,3.165875,3.339875,3.228625
1,-290,232,20,3.44,1.070625,3.105625,3.1673750000000003,3.12925,3.138875,3.2165,3.244875
2,-290,174,20,3.195125,1.462125,3.082125,3.134,3.133125,3.111625,3.082625,3.2535000000000003
3,-290,116,20,2.822125,1.855875,3.0496250000000003,3.1473750000000003,3.138375,3.086,2.936,3.25525
4,-290,58,20,2.102125,2.36075,3.00125,3.210375,3.14175,3.05775,2.72975,3.241
5,-290,0,20,0.008125,3.014125,3.036875,3.244375,3.142875,3.008375,2.517875,3.2515
6,-290,-58,20,1.950375,2.74375,3.0543750000000003,2.74575,3.147875,3.00875,2.736125,3.326625
7,-290,-116,20,2.652875,2.599625,3.0365,2.325375,3.1635,3.02925,2.94975,3.3715
8,-290,-174,20,3.044375,2.561375,3.00875,1.72375,3.177875,3.03225,3.07525,3.3985
9,-290,-232,20,3.3592500000000003,2.588625,3.0005,0.965375,3.198875,3.03925,3.1915,3.421875
10,-290,-290,20,3.58325,2.710375,3.007,0.008875,3.214375,3.0460000000000003,3.30625,3.4495
11,-232,290,20,3.442125,1.891625,2.97275,3.35025,3.099625,3.15375,3.324875,3.1593750000000003
12,-232,232,20,3.17875,1.66525,2.84825,3.257375,3.0915,3.122625,3.147875,3.1321250000000003
13,-232,174,20,2.775625,1.858875,2.789625,3.192875,3.076,3.0925,2.94075,3.13025
14,-232,116,20,2.34725,2.143625,2.7795,3.215875,3.0895,3.0705,2.77375,3.17475
15,-232,58,20,1.525,2.456,2.793875,3.25075,3.095,3.029375,2.511,3.17825
16,-232,0,20,0.43425,2.8765,2.844625,3.255625,3.094625,2.995,2.3865,3.238875
17,-232,-58,20,1.600875,2.699625,2.847,2.7575,3.0845,2.9705,2.565125,3.30025
18,-232,-116,20,2.278125,2.6045000000000003,2.8415,2.3155,3.0955,2.980125,2.795,3.346125
19,-232,-174,20,2.70875,2.5815,2.839125,1.898125,3.112,2.9785,2.970625,3.374625
20,-232,-232,20,3.09875,2.6275,2.83875,1.442375,3.11425,2.975625,3.129125,3.405125
21,-232,-290,20,3.458875,2.755625,2.9017500000000003,1.23675,3.143125,2.99975,3.295,3.442
22,-174,290,20,3.3735,2.396625,2.772875,3.277375,3.071,3.145125,3.34675,3.154125
23,-174,232,20,3.0675,2.087125,2.617625,3.218375,3.049125,3.113875,3.147625,3.103375
24,-174,174,20,2.68725,2.248375,2.553,3.184625,3.0515,3.089875,2.944875,3.115875
25,-174,116,20,2.144375,2.41475,2.490375,3.1745,3.031375,3.061125,2.683125,3.140375
26,-174,58,20,1.338875,2.648875,2.5111250000000003,3.200375,3.03725,3.021125,2.389,3.178375
27,-174,0,20,0.73475,2.857375,2.55075,3.165625,3.021125,2.98225,2.2575,3.236875
28,-174,-58,20,1.561375,2.769,2.609875,2.889875,3.018125,2.9602500000000003,2.479625,3.3055
29,-174,-116,20,2.192875,2.696125,2.599625,2.571,3.022,2.950125,2.742625,3.3436250000000003
30,-174,-174,20,2.663125,2.695,2.615625,2.2715,3.0355,2.9435,2.954875,3.375125
31,-174,-232,20,3.049125,2.723375,2.688625,1.94875,3.07425,2.9595,3.152625,3.404375
32,-174,-290,20,3.397125,2.830375,2.800375,1.992375,3.109375,2.998125,3.325125,3.43675
33,-116,290,20,3.302625,2.614375,2.521625,3.232125,3.018625,3.1241250000000003,3.34975,3.175125
34,-116,232,20,2.9785,2.447375,2.351125,3.188625,3.012125,3.105375,3.145875,3.115375
35,-116,174,20,2.584625,2.543875,2.227375,3.17425,2.993,3.08075,2.916875,3.131625
36,-116,116,20,2.185875,2.6505,2.149625,3.1635,2.979375,3.078,2.69225,3.160625
37,-116,58,20,1.61225,2.773125,2.1437500000000003,3.17775,2.971375,3.0425,2.392875,3.19475
38,-116,0,20,1.176,2.892125,2.311875,3.176625,2.977375,3.00175,2.256375,3.2665
39,-116,-58,20,1.658875,2.82,2.361,3.019,2.95775,2.968625,2.4375,3.316625
40,-116,-116,20,2.24325,2.767,2.346375,2.82,2.94625,2.958,2.739,3.34625
