Timestamp,dt,Voltage1,Voltage2,Voltage3,Voltage4,Voltage5,Voltage6,Voltage7,Voltage8
2024-10-24 09:41:24,0.25,3.64,2.799,1.17,3.152,0.446,3.589,0.51,2.975
2024-10-24 09:41:24,0.25,3.565,2.231,1.776,0.079,3.341,1.827,0.278,2.85
2024-10-24 09:41:24,0.25,3.758,0.089,2.86,2.269,1.938,3.343,1.495,2.368
2024-10-24 09:41:24,0.25,3.394,1.41,3.626,3.699,1.263,3.891,0.579,1.009
2024-10-24 09:41:25,0.25,3.769,2.386,1.626,2.926,2.561,2.714,2.407,2.386
2024-10-24 09:41:25,0.25,3.096,2.88,2.648,3.037,1.496,0.688,1.052,2.79
2024-10-24 09:41:25,0.25,3.634,3.373,3.322,1.42,0.575,1.495,0.124,0.33
2024-10-24 09:41:25,0.25,3.326,0.753,1.836,0.801,3.872,1.782,0.972,1.4
2024-10-24 09:41:26,0.25,3.737,0.312,2.072,1.156,3.508,2.55,1.634,1.511
2024-10-24 09:41:26,0.25,3.022,2.751,2.005,3.071,1.88,3.859,0.655,3.114
2024-10-24 09:41:26,0.25,3.477,2.667,0.283,2.03,1.584,3.638,1.782,1.051
2024-10-24 09:41:26,0.25,0.056,3.801,0.204,3.89,2.756,0.585,0.776,1.978
2024-10-24 09:41:27,0.25,0.071,2.325,2.578,3.699,0.905,2.672,1.352,0.076
2024-10-24 09:41:27,0.25,0.986,1.529,2.406,1.87,0.52,0.458,1.399,0.209
2024-10-24 09:41:27,0.25,0.28,0.652,0.078,1.944,2.516,0.511,0.125,2.673
2024-10-24 09:41:27,0.25,0.52,0.688,0.972,1.54,3.219,3.141,3.21,3.705
2024-10-24 09:41:28,0.25,0.64,1.473,2.912,1.928,1.768,0.428,0.136,0.704
2024-10-24 09:41:28,0.25,0.359,3.518,3.166,1.846,0.718,3.107,1.721,2.937
2024-10-24 09:41:28,0.25,0.302,2.622,3.59,0.176,3.847,0.307,3.626,1.939
2024-10-24 09:41:28,0.25,0.56,3.343,3.055,2.384,1.487,2.42,2.219,1.99
2024-10-24 09:41:29,0.25,0.388,3.27,3.268,0.972,1.578,3.724,0.831,1.43
2024-10-24 09:41:29,0.25,0.751,2.227,2.206,3.263,1.461,1.86,1.327,2.296
